status,variant_id,sku,message,error
updated,55196261974281,AUTOSKU-000000BG,SKU updated,
updated,55196262007049,AUTOSKU-000000BH,SKU updated,
updated,55196262039817,AUTOSKU-000000BI,SKU updated,
updated,55196261875977,AUTOSKU-000000BJ,SKU updated,
updated,55196261908745,AUTOSKU-000000BK,SKU updated,
updated,55196261941513,AUTOSKU-000000BL,SKU updated,
updated,55196261777673,AUTOSKU-000000BM,SKU updated,
updated,55196261810441,AUTOSKU-000000BN,SKU updated,
updated,55196261843209,AUTOSKU-000000BO,SKU updated,
updated,55196237955337,AUTOSKU-000000BP,SKU updated,
updated,55196237988105,AUTOSKU-000000BQ,SKU updated,
updated,55196237889801,AUTOSKU-000000BR,SKU updated,
updated,55196237922569,AUTOSKU-000000BS,SKU updated,
updated,55196237824265,AUTOSKU-000000BT,SKU updated,
updated,55196237857033,AUTOSKU-000000BU,SKU updated,
updated,55196237758729,AUTOSKU-000000BV,SKU updated,
updated,55196237791497,AUTOSKU-000000BW,SKU updated,
updated,55196238217481,AUTOSKU-000000BX,SKU updated,
updated,55196238250249,AUTOSKU-000000BY,SKU updated,
updated,55196238151945,AUTOSKU-000000BZ,SKU updated,
updated,55196238184713,AUTOSKU-000000C0,SKU updated,
updated,55196238086409,AUTOSKU-000000C1,SKU updated,
updated,55196238119177,AUTOSKU-000000C2,SKU updated,
updated,55196238020873,AUTOSKU-000000C3,SKU updated,
updated,55196238053641,AUTOSKU-000000C4,SKU updated,
updated,55196238479625,AUTOSKU-000000C5,SKU updated,
updated,55196238512393,AUTOSKU-000000C6,SKU updated,
updated,55196238414089,AUTOSKU-000000C7,SKU updated,
updated,55196238446857,AUTOSKU-000000C8,SKU updated,
updated,55196238348553,AUTOSKU-000000C9,SKU updated,
updated,55196238381321,AUTOSKU-000000CA,SKU updated,
updated,55196238283017,AUTOSKU-000000CB,SKU updated,
updated,55196238315785,AUTOSKU-000000CC,SKU updated,
updated,55196238741769,AUTOSKU-000000CD,SKU updated,
updated,55196238774537,AUTOSKU-000000CE,SKU updated,
updated,55196238676233,AUTOSKU-000000CF,SKU updated,
updated,55196238709001,AUTOSKU-000000CG,SKU updated,
updated,55196238610697,AUTOSKU-000000CH,SKU updated,
updated,55196238643465,AUTOSKU-000000CI,SKU updated,
updated,55196238545161,AUTOSKU-000000CJ,SKU updated,
updated,55196238577929,AUTOSKU-000000CK,SKU updated,
updated,55196236054793,AUTOSKU-000000CL,SKU updated,
updated,55196236087561,AUTOSKU-000000CM,SKU updated,
updated,55196235989257,AUTOSKU-000000CN,SKU updated,
updated,55196236022025,AUTOSKU-000000CO,SKU updated,
